,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Atar,MR,72.7,overcast clouds,20.52,-13.05,Oumou Elghoura
673,Mul,IN,74.84,clear sky,20.07,79.67,Prashant hotel
679,Mangai,CD,72.95,broken clouds,-4.05,19.53,
680,Ambodifototra,CD,72.95,broken clouds,-4.05,19.53,
681,Vao,NC,79.02,clear sky,-22.67,167.48,Hotel Kou-Bugny
682,Makarska,HR,42.8,overcast clouds,43.3,17.02,Hotel Park Makarska
685,Gejiu,CN,56.52,broken clouds,23.31,103.16,Hongtai Commercial Hotel
686,Charlestown,AU,79.0,overcast clouds,-32.95,151.67,Panorama Motor Inn Hotel
688,Nelson Bay,AU,79.0,overcast clouds,-32.72,152.15,Mantra Nelson Bay
690,Chichimila,MX,61.18,clear sky,20.62,-88.22,Casa Kiin
691,Sabha,LY,49.87,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
692,Taltal,CL,60.51,few clouds,-25.4,-70.48,Residencial Karime
693,Ouadda,CF,69.8,clear sky,8.08,22.4,
695,Sendafa,ET,57.2,scattered clouds,9.15,39.03,german hotel
696,Chagda,ET,57.2,scattered clouds,9.15,39.03,german hotel
697,Tonantins,BR,75.85,overcast clouds,-2.87,-67.8,Hotel Rei Davi
699,Tazmalt,DZ,42.8,clear sky,36.39,4.4,Hôtel Numédia
700,Wajima,JP,44.6,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
701,Casablanca,MA,64.0,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
702,Saint-Georges,GD,78.8,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
707,Tomatlan,MX,68.56,scattered clouds,19.93,-105.25,Norma franco
709,Arandis,,63.0,overcast clouds,-22.42,14.97,Vvt-i Park & Hotel
